item,group_id,link,title,image,category,price,msrp,available,description,zoom_image,c_sustainable
SM001,GRP_1,https://mysmartshop.de/products/demo-sm001,Demo Produkt SM001,https://loremflickr.com/800/800/technology?lock=1,Smart Home > Relais,150.57,173.16,true,Demo Produkt für Emarsys Web Extend und Predict,https://loremflickr.com/800/800/technology?lock=1,false
SM002,GRP_1,https://mysmartshop.de/products/demo-sm002,Demo Produkt SM002,https://loremflickr.com/800/800/technology?lock=2,Smart Home > Relais,89.16,102.53,true,Demo Produkt für Emarsys Web Extend und Predict,https://loremflickr.com/800/800/technology?lock=2,false
SM003,GRP_1,https://mysmartshop.de/products/demo-sm003,Demo Produkt SM003,https://loremflickr.com/800/800/technology?lock=3,Smart Home > Relais,284.86,327.59,true,Demo Produkt für Emarsys Web Extend und Predict,https://loremflickr.com/800/800/technology?lock=3,true
SM004,GRP_1,https://mysmartshop.de/products/demo-sm004,Demo Produkt SM004,https://loremflickr.com/800/800/technology?lock=4,Smart Home > Relais,245.15,281.92,true,Demo Produkt für Emarsys Web Extend und Predict,https://loremflickr.com/800/800/technology?lock=4,false
SM005,GRP_1,https://mysmartshop.de/products/demo-sm005,Demo Produkt SM005,https://loremflickr.com/800/800/technology?lock=5,Smart Home > Relais,135.77,156.14,true,Demo Produkt für Emarsys Web Extend und Predict,https://loremflickr.com/800/800/technology?lock=5,false
SM006,GRP_2,https://mysmartshop.de/products/demo-sm006,Demo Produkt SM006,https://loremflickr.com/800/800/technology?lock=6,Smart Home > Relais,243.95,280.54,true,Demo Produkt für Emarsys Web Extend und Predict,https://loremflickr.com/800/800/technology?lock=6,true
SM007,GRP_2,https://mysmartshop.de/products/demo-sm007,Demo Produkt SM007,https://loremflickr.com/800/800/technology?lock=7,Smart Home > Relais,257.47,296.09,false,Demo Produkt für Emarsys Web Extend und Predict,https://loremflickr.com/800/800/technology?lock=7,false
SM008,GRP_2,https://mysmartshop.de/products/demo-sm008,Demo Produkt SM008,https://loremflickr.com/800/800/technology?lock=8,Smart Home > Relais,111.95,128.74,true,Demo Produkt für Emarsys Web Extend und Predict,https://loremflickr.com/800/800/technology?lock=8,false
SM009,GRP_2,https://mysmartshop.de/products/demo-sm009,Demo Produkt SM009,https://loremflickr.com/800/800/technology?lock=9,Smart Home > Relais,232.73,267.64,true,Demo Produkt für Emarsys Web Extend und Predict,https://loremflickr.com/800/800/technology?lock=9,true
SM010,GRP_2,https://mysmartshop.de/products/demo-sm010,Demo Produkt SM010,https://loremflickr.com/800/800/technology?lock=10,Smart Home > Relais,108.97,125.32,true,Demo Produkt für Emarsys Web Extend und Predict,https://loremflickr.com/800/800/technology?lock=10,false
SM011,GRP_3,https://mysmartshop.de/products/demo-sm011,Demo Produkt SM011,https://loremflickr.com/800/800/technology?lock=11,Smart Home > Beleuchtung,122.68,141.08,true,Demo Produkt für Emarsys Web Extend und Predict,https://loremflickr.com/800/800/technology?lock=11,false
SM012,GRP_3,https://mysmartshop.de/products/demo-sm012,Demo Produkt SM012,https://loremflickr.com/800/800/technology?lock=12,Smart Home > Beleuchtung,285.02,327.77,true,Demo Produkt für Emarsys Web Extend und Predict,https://loremflickr.com/800/800/technology?lock=12,true
SM013,GRP_3,https://mysmartshop.de/products/demo-sm013,Demo Produkt SM013,https://loremflickr.com/800/800/technology?lock=13,Smart Home > Beleuchtung,128.05,147.26,true,Demo Produkt für Emarsys Web Extend und Predict,https://loremflickr.com/800/800/technology?lock=13,false
SM014,GRP_3,https://mysmartshop.de/products/demo-sm014,Demo Produkt SM014,https://loremflickr.com/800/800/technology?lock=14,Smart Home > Beleuchtung,182.63,210.02,false,Demo Produkt für Emarsys Web Extend und Predict,https://loremflickr.com/800/800/technology?lock=14,false
SM015,GRP_3,https://mysmartshop.de/products/demo-sm015,Demo Produkt SM015,https://loremflickr.com/800/800/technology?lock=15,Smart Home > Beleuchtung,115.42,132.73,true,Demo Produkt für Emarsys Web Extend und Predict,https://loremflickr.com/800/800/technology?lock=15,true
SM016,GRP_4,https://mysmartshop.de/products/demo-sm016,Demo Produkt SM016,https://loremflickr.com/800/800/technology?lock=16,Smart Home > Beleuchtung,75.28,86.57,true,Demo Produkt für Emarsys Web Extend und Predict,https://loremflickr.com/800/800/technology?lock=16,false
SM017,GRP_4,https://mysmartshop.de/products/demo-sm017,Demo Produkt SM017,https://loremflickr.com/800/800/technology?lock=17,Smart Home > Beleuchtung,198.44,228.21,true,Demo Produkt für Emarsys Web Extend und Predict,https://loremflickr.com/800/800/technology?lock=17,false
SM018,GRP_4,https://mysmartshop.de/products/demo-sm018,Demo Produkt SM018,https://loremflickr.com/800/800/technology?lock=18,Smart Home > Beleuchtung,91.38,105.09,true,Demo Produkt für Emarsys Web Extend und Predict,https://loremflickr.com/800/800/technology?lock=18,true
SM019,GRP_4,https://mysmartshop.de/products/demo-sm019,Demo Produkt SM019,https://loremflickr.com/800/800/technology?lock=19,Smart Home > Beleuchtung,119.0,136.85,true,Demo Produkt für Emarsys Web Extend und Predict,https://loremflickr.com/800/800/technology?lock=19,false
SM020,GRP_4,https://mysmartshop.de/products/demo-sm020,Demo Produkt SM020,https://loremflickr.com/800/800/technology?lock=20,Smart Home > Beleuchtung,291.61,335.35,true,Demo Produkt für Emarsys Web Extend und Predict,https://loremflickr.com/800/800/technology?lock=20,false
SM021,GRP_5,https://mysmartshop.de/products/demo-sm021,Demo Produkt SM021,https://loremflickr.com/800/800/technology?lock=21,IoT > Sensoren,299.44,344.36,false,Demo Produkt für Emarsys Web Extend und Predict,https://loremflickr.com/800/800/technology?lock=21,true
SM022,GRP_5,https://mysmartshop.de/products/demo-sm022,Demo Produkt SM022,https://loremflickr.com/800/800/technology?lock=22,IoT > Sensoren,130.87,150.5,true,Demo Produkt für Emarsys Web Extend und Predict,https://loremflickr.com/800/800/technology?lock=22,false
SM023,GRP_5,https://mysmartshop.de/products/demo-sm023,Demo Produkt SM023,https://loremflickr.com/800/800/technology?lock=23,IoT > Sensoren,296.14,340.56,true,Demo Produkt für Emarsys Web Extend und Predict,https://loremflickr.com/800/800/technology?lock=23,false
SM024,GRP_5,https://mysmartshop.de/products/demo-sm024,Demo Produkt SM024,https://loremflickr.com/800/800/technology?lock=24,IoT > Sensoren,295.98,340.38,true,Demo Produkt für Emarsys Web Extend und Predict,https://loremflickr.com/800/800/technology?lock=24,true
SM025,GRP_5,https://mysmartshop.de/products/demo-sm025,Demo Produkt SM025,https://loremflickr.com/800/800/technology?lock=25,IoT > Sensoren,245.2,281.98,true,Demo Produkt für Emarsys Web Extend und Predict,https://loremflickr.com/800/800/technology?lock=25,false
SM026,GRP_6,https://mysmartshop.de/products/demo-sm026,Demo Produkt SM026,https://loremflickr.com/800/800/technology?lock=26,IoT > Sensoren,46.59,53.58,true,Demo Produkt für Emarsys Web Extend und Predict,https://loremflickr.com/800/800/technology?lock=26,false
SM027,GRP_6,https://mysmartshop.de/products/demo-sm027,Demo Produkt SM027,https://loremflickr.com/800/800/technology?lock=27,IoT > Sensoren,106.97,123.02,true,Demo Produkt für Emarsys Web Extend und Predict,https://loremflickr.com/800/800/technology?lock=27,true
SM028,GRP_6,https://mysmartshop.de/products/demo-sm028,Demo Produkt SM028,https://loremflickr.com/800/800/technology?lock=28,IoT > Sensoren,88.94,102.28,false,Demo Produkt für Emarsys Web Extend und Predict,https://loremflickr.com/800/800/technology?lock=28,false
