item,title,category,price,available,link,image,description
SM001,SmartFlow Smart Relay Mini Plus,Smart Home > Relais,186.19,true,https://mysmartshop.de/products/smartflow-smart-relay-mini-plus,https://loremflickr.com/800/800/smart-home?lock=1,"WLAN-Relais zur Steuerung von Geräten und zur Messung des Energieverbrauchs. Demo-Produkt für Emarsys/Web-Extend-Szenarien, passend zu Smart-Home- und Energy-Use-Cases."
SM002,GridSense Pro Relay 2PM Ultra,Smart Home > Relais,82.89,true,https://mysmartshop.de/products/gridsense-pro-relay-2pm-ultra,https://loremflickr.com/800/800/smart-home?lock=2,"WLAN-Relais zur Steuerung von Geräten und zur Messung des Energieverbrauchs. Demo-Produkt für Emarsys/Web-Extend-Szenarien, passend zu Smart-Home- und Energy-Use-Cases."
SM003,HomePilot DIN Rail Relay Flex,Smart Home > Relais,63.57,true,https://mysmartshop.de/products/homepilot-din-rail-relay-flex,https://loremflickr.com/800/800/smart-home?lock=3,"WLAN-Relais zur Steuerung von Geräten und zur Messung des Energieverbrauchs. Demo-Produkt für Emarsys/Web-Extend-Szenarien, passend zu Smart-Home- und Energy-Use-Cases."
SM004,EcoPulse Power Switch Max,Smart Home > Relais,152.15,true,https://mysmartshop.de/products/ecopulse-power-switch-max,https://loremflickr.com/800/800/smart-home?lock=4,"WLAN-Relais zur Steuerung von Geräten und zur Messung des Energieverbrauchs. Demo-Produkt für Emarsys/Web-Extend-Szenarien, passend zu Smart-Home- und Energy-Use-Cases."
SM005,NovaLink Energy Relay Lite,Smart Home > Relais,177.08,true,https://mysmartshop.de/products/novalink-energy-relay-lite,https://loremflickr.com/800/800/smart-home?lock=5,"WLAN-Relais zur Steuerung von Geräten und zur Messung des Energieverbrauchs. Demo-Produkt für Emarsys/Web-Extend-Szenarien, passend zu Smart-Home- und Energy-Use-Cases."
SM006,Shelvia Smart Relay Mini Plus,Smart Home > Relais,83.73,true,https://mysmartshop.de/products/shelvia-smart-relay-mini-plus,https://loremflickr.com/800/800/smart-home?lock=6,"WLAN-Relais zur Steuerung von Geräten und zur Messung des Energieverbrauchs. Demo-Produkt für Emarsys/Web-Extend-Szenarien, passend zu Smart-Home- und Energy-Use-Cases."
SM007,MeterIQ Pro Relay 2PM Ultra,Smart Home > Relais,142.72,true,https://mysmartshop.de/products/meteriq-pro-relay-2pm-ultra,https://loremflickr.com/800/800/smart-home?lock=7,"WLAN-Relais zur Steuerung von Geräten und zur Messung des Energieverbrauchs. Demo-Produkt für Emarsys/Web-Extend-Szenarien, passend zu Smart-Home- und Energy-Use-Cases."
SM008,VoltEdge DIN Rail Relay Flex,Smart Home > Relais,28.08,true,https://mysmartshop.de/products/voltedge-din-rail-relay-flex,https://loremflickr.com/800/800/smart-home?lock=8,"WLAN-Relais zur Steuerung von Geräten und zur Messung des Energieverbrauchs. Demo-Produkt für Emarsys/Web-Extend-Szenarien, passend zu Smart-Home- und Energy-Use-Cases."
SM009,Sensorix Power Switch Max,Smart Home > Relais,27.24,true,https://mysmartshop.de/products/sensorix-power-switch-max,https://loremflickr.com/800/800/smart-home?lock=9,"WLAN-Relais zur Steuerung von Geräten und zur Messung des Energieverbrauchs. Demo-Produkt für Emarsys/Web-Extend-Szenarien, passend zu Smart-Home- und Energy-Use-Cases."
SM010,Airwise Energy Relay Lite,Smart Home > Relais,43.40,true,https://mysmartshop.de/products/airwise-energy-relay-lite,https://loremflickr.com/800/800/smart-home?lock=10,"WLAN-Relais zur Steuerung von Geräten und zur Messung des Energieverbrauchs. Demo-Produkt für Emarsys/Web-Extend-Szenarien, passend zu Smart-Home- und Energy-Use-Cases."
SM011,SmartFlow Smart Bulb E27 Plus,Smart Home > Beleuchtung,13.51,true,https://mysmartshop.de/products/smartflow-smart-bulb-e27-plus,https://loremflickr.com/800/800/lighting?lock=11,"Intelligente Beleuchtung mit App-Steuerung, Zeitplänen und Energiesparen. Demo-Produkt für Emarsys/Web-Extend-Szenarien, passend zu Smart-Home- und Energy-Use-Cases."
SM012,GridSense GU10 Smart Spot Ultra,Smart Home > Beleuchtung,17.93,true,https://mysmartshop.de/products/gridsense-gu10-smart-spot-ultra,https://loremflickr.com/800/800/lighting?lock=12,"Intelligente Beleuchtung mit App-Steuerung, Zeitplänen und Energiesparen. Demo-Produkt für Emarsys/Web-Extend-Szenarien, passend zu Smart-Home- und Energy-Use-Cases."
